name;description;category;brand;pack_size;price;stock;image_url
Griponal;This medication is indicated for the rapid relief of symptoms of colds and flu.;Cold & Flu;Griponal;20 effervescent tablets;11.30;35;images/products/Griponal.jpg
Stodal;Homeopathic medicine used in the symptomatic treatment of cough.;Cough;Stodal;200 mL;14.99;25;images/products/Stodal.jpg
Bisoltussin;This medication is indicated for the symptomatic treatment of irritating and dry cough.;Cough;Bisoltussin;200 mL;11.60;25;images/products/Bisoltussin.jpg
Fluimucil 600 mg;This medication is indicated for the treatment of productive cough.;Cough;Fluimucil;20 effervescent tablets;7.69;30;images/products/Fluimucil_600mg.jpg
Mucosolvan;This medication is indicated for the treatment of productive cough.;Cough;Mucosolvan;200 mL;13.15;25;images/products/Mucosolvan.jpg
Bisolvon 8 mg;This medication is indicated for the treatment of productive cough.;Cough;Bisolvon;20 tablets;9.30;20;images/products/Bisolvon_8mg.jpg
Levotuss 60 mg;This medication is indicated for the symptomatic treatment of dry cough.;Cough;Levotuss;20 tablets;11.90;20;images/products/Levotuss_60mg.jpg
Nasorhinathiol Spray;This medication is indicated for the symptomatic relief of nasal congestion and rhinorrhea associated with flu and colds.;Nose;Nasorhinathiol;15 mL;10.65;35;images/products/Nasorhinathiol.jpg
Vibrocil Actilong Nasal Drops;This medication is used to relieve nasal congestion caused by colds, hay fever, or other allergic rhinitis and sinusitis.;Nose;Vibrocil;10 mL;9.99;15;images/products/Vibrocil_Actilong.jpg
Vibrocil Actilong Mint Spray;This medication is used to relieve nasal congestion caused by colds, hay fever, or other allergic rhinitis and sinusitis.;Nose;Vibrocil;10 mL;10.49;25;images/products/Vibrocil_Actilong_Mint.jpg
Vibrocil Anti-Allergies Spray;This medication is used to treat allergic symptoms of hay fever and other allergies.;Nose;Vibrocil;60 doses;14.99;20;images/products/Vibrocil_Anti-Allergies.jpg
Vicks Sinex Respir Spray;This medication is indicated as a nasal decongestant in conditions such as acute sinusitis and rhinitis.;Nose;Vicks;10 mL;9.00;25;images/products/Vicks_Sinex_Respir.jpg
Strepfen Honey and Lemon;This medication is used for short-term relief of sore throat symptoms, such as pain, inflammation, swelling and swallowing difficulty.;Soar Throat;Strepfen;16 lozenges;10.09;40;images/products/Strepfen.jpg
Strepsils Orange Children;This medication is indicated for the symptomatic treatment of mouth inflammation and throat infections, including sore throat.;Soar Throat;Strepsils;24 lozenges;10.29;35;images/products/Strepsils_Orange.jpg
Strepsils Lemon Sugar Free;This medication is indicated for the symptomatic treatment of mouth inflammation and throat infections, including sore throat.;Soar Throat;Strepsils;24 lozenges;10.29;35;images/products/Strepsils_Lemon.jpg
Mebocaína Forte;This medication is indicated for the local treatment of infections of the mouth and throat and inflammations associated with flu or colds, as well as relief of sore throat and hoarseness.;Soar Throat;Mebocaína;24 lozenges;9.79;30;images/products/Mebocaina_Forte.jpg
Mebocaína Anti-Inflam;This medication is indicated for the symptomatic treatment of painful inflammation of the throat, mouth, and gums, before and after tooth extractions.;Soar Throat;Mebocaína;30 lozenges;10.50;30;images/products/Mebocaina_Anti-Inflam.jpg
Tantum Verde Spray 3 mg/mL;This medication is indicated for the symptomatic treatment of inflammatory processes of the throat, as it relieves the painful symptoms of irritation and inflammation associated with sore throat.;Soar Throat;Tantum Verde;15 mL;12.45;25;images/products/Tantum_Verde.jpg
Drill Honey and Lemon;"This medication is indicated for the symptomatic relief of sore throat and mild infections of the oral cavity and throat; for oral and throat hygiene.";Soar Throat;Drill;24 lozenges;11.90;30;images/products/Drill.jpg
Telfast 120 mg;This medication is indicated for the relief of symptoms associated with hay fever.;Hay Fever;Telfast;20 tablets;11.40;25;images/products/Telfast.jpg
Cetix 10 mg;This medication is indicated for the relief of nasal and ocular symptoms of hay fever, and for the relief of chronic idiopathic urticaria.;Hay Fever;Cetix;21 tablets;12.29;20;images/products/Cetix.jpg
Claritine 10 mg;This medication is indicated for the relief of symptoms associated with hay fever.;Hay Fever;Claritine;20 tablets;11.95;25;images/products/Claritine.jpg
Fenistil Oral Drops 1 mg/mL;This medication is indicated for the symptomatic treatment of allergic skin reactions, itching of various etiologies, insect bites, and symptoms associated with hay fever.;Hay Fever;Fenistil;20 mL;7.89;20;images/products/Fenistil.jpg
Aero-OM Oral Drops 105 mg/mL;This medication is indicated for the symptomatic treatment of flatulent colic, digestive difficulties, and functional abdominal distension.;Digestive Health;Aero-OM;25 mL;14.45;15;images/products/Aero-OM_Drops.jpg
Gaviscon Duefet;This medication is indicated for the treatment of symptoms of gastroesophageal reflux.;Digestive Health;Gaviscon;12 sachets;11.35;20;images/products/Gaviscon_Duefet.jpg
Vomidrine 50 mg;This medication is used to prevent and relieve nausea, vomiting, and motion sickness.;Digestive Health;Vomidrine;20 tablets;7.95;20;images/products/Vomidrine.jpg
Imodium Rapid 2 mg;This medication is indicated for the symptomatic treatment of acute and chronic diarrhea.;Digestive Health;Imodium;10 tablets;9.55;25;images/products/Imodium_Rapid.jpg
Gaviscon Mint;This medication is indicated for the treatment of symptoms of gastroesophageal reflux.;Digestive Health;Gaviscon;24 tablets;8.39;25;images/products/Gaviscon_Mint.jpg
Dulcolax 5 mg;This medication is indicated for the treatment of constipation and in situations requiring easy defecation.;Digestive Health;Dulcolax;20 tablets;8.60;25;images/products/Dulcolax.jpg
UL-250;This medication is indicated for the symptomatic treatment of acute diarrhea and for the prevention of antibiotic-associated diarrhea.;Digestive Health;UL-250;20 capsules;15.95;25;images/products/UL-250.jpg
Rennie;This medication is indicated for the rapid relief of symptoms of gastric hyperacidity.;Digestive Health;Rennie;24 tablets;7.09;20;images/products/Rennie.jpg
Aero-OM 125 mg;This medication is an antiflatulent that works by reducing gas that accumulates in the stomach and intestines.;Digestive Health;Aero-OM;60 soft capsules;25.75;15;images/products/Aero-OM_125mg.jpg
Otoceril;This medication is indicated for the removal of earwax.;Ears;Otoceril;10 mL;6.65;20;images/products/Otoceril.jpg
Dormidina 25 mg;This medication is indicated for the short-term symptomatic treatment of occasional insomnia.;Anxiety & Sleep;Dormidina;14 tablets;14.70;30;images/products/Dormidina.jpg
Valdispert Stress;This medication is indicated for the relief of mild symptoms of mental stress.;Anxiety & Sleep;Valdispert;40 tablets ;15.99;25;images/products/Valdispert_Stress.jpg
Valdispert 125 mg;This medication is indicated for the relief of mild nervous tension and sleep disorders.;Anxiety & Sleep;Valdispert;50 tablets;14.69;30;images/products/Valdispert_125mg.jpg
Sedatif PC;Homeopathic medicine used for anxiety and mild emotional states.;Anxiety & Sleep;Sedatif PC;90 tablets;12.99;25;images/products/Sedatif_PC.jpg
Venosmil 200 mg;This medication is indicated for the treatment of symptoms of chronic venous insufficiency of the lower limbs, including varicose veins.;Leg Heaviness;Venosmil;60 capsules;12.49;15;images/products/Venosmil.jpg
Thrombocid Gel;This medication is indicated for varicose veins, spider veins, and hematomas.;Leg Heaviness;Thrombocid;100 gr;10.85;25;images/products/Thrombocid.jpg
Cyclo 3;This medication is indicated for the treatment of symptoms such as heavy and painful legs, cramps, tingling, and a prickling sensation.;Leg Heaviness;Cyclo 3;60 capsules;18.89;15;images/products/Cyclo_3.jpg
Daflon 1000mg;This medication is indicated for the treatment of symptoms and signs related to venous insufficiency (heavy legs, pain, fatigue, edema) and symptomatic treatment of hemorrhoidal crisis.;Leg Heaviness;Daflon;30 tablets;20.50;25;images/products/Daflon.jpg
Centrum Woman;Food supplement with vitamins and minerals, indicated for women from the age of 18.;Supplements;Centrum;30 tablets;16.69;30;images/products/Centrum_Woman.jpg
Magnesium OK;Food supplement indicated for cases of physical tiredness, muscle fatigue, cramps, irritability, and mental fatigue.;Supplements;Magnesium OK;30 tablets;19.99;35;images/products/Magnesium_OK.jpg
Centrum Junior;Food supplement with vitamins and minerals that contributes to nutritional support from the age of 4.;Supplements;Centrum;30 gummies;12.99;30;images/products/Centrum_Junior.jpg
Centrum Man;Food supplement with vitamins and minerals, indicated for men from the age of 18.;Supplements;Centrum;30 tablets;19.69;30;images/products/Centrum_Man.jpg
Preservision 3;Food supplement with omega 3 fatty acids, lutein, zeaxanthin, vitamins and minerals that contributes to the maintenance of normal vision.;Supplements;Preservison ;60 capsules;28.05;15;images/products/Preservision_3.jpg
Now Vitamin D-3;Food supplement to support immune function and bone health.;Supplements;Now;120 capsules;17.30;20;images/products/Now_Vitamin_D-3.jpg
Now Selenium;Food supplement used for its antioxidant support, helping maintain immune and thyroid health.;Supplements;Now;100 tablets;13.65;15;images/products/Now_Selenium.jpg
Anacaps Reactiv Hair Loss;Food supplement that helps maintain normal hair in the case of reactional hair loss.;Supplements;Ducray;90 capsules;60.30;5;images/products/Anacaps.jpg
Lambdapil Hair Loss;Food supplement with vitamins, minerals and plant extracts to maintain healthy hair.;Supplements;ISDIN;60 capsules;34.60;5;images/products/Lambdapil.jpg
Redoxon +Zn;Food supplement that helps the immune system, cognitive function, and muscles function normally.;Supplements;Redoxon;20 effervescent tablets;9.50;10;images/products/Redoxon.jpg
Structomax;Food supplement that helps protect cartilage, reduce joint rigidity, and is used for treating discomfort associated with joint degeneration.;Supplements;Structomax;28 sachets;22.60;10;images/products/Structomax.jpg
Valdispert Night Total;Food supplement that helps reduce the time it takes to fall asleep, night awakenings, and aids in the relaxation process.;Supplements;Valdispert;30 capsules;17.90;20;images/products/Valdispert_Night.jpg
ZzzQuil Natura;Food supplement that helps reduce the time it takes to fall asleep.;Supplements;ZzzQuil;30 gummies;18.05;20;images/products/ZzzQuil.jpg
Now Ultra Omega-3 Fish Oil;Food supplement that effectively promotes cardiovascular, brain, and joint health.;Supplements;Now;90 capsules;45.40;15;images/products/Now_Omega-3.jpg
Uriage Hyseac 3-Regul +;Corrects, mattifies, and refines the texture of oily, acne-prone skin. Reduces persistent and recurring imperfections.;Face;Uriage;40 mL;19.99;10;images/products/Uriage_Hyseac_3-Regul.jpg
Uriage Roseliane SPF30;Reduces and helps prevent redness, protecting the skin from UVB/UVA rays.;Face;Uriage;40 mL;16.21;10;images/products/Uriage_Roseliane_SPF30.jpg
Avène Hydrance Rich;A rich moisturizing cream that leaves skin hydrated, supple, and comfortable all day long.;Face;Avène;40 mL;17.15;15;images/products/Avene_Hydrance_Rich.jpg
Avène Tolerance Hydra-10;Promotes the skin's natural hydration and contributes to its daily comfort.;Face;Avène;40 mL;16.95;15;images/products/Avene_Tolerance_Hydra10.jpg
Avène Cicalfate +;Soothes, protects and helps repair irritated skin.;Face;Avène;40 mL;13.25;10;images/products/Avene_Cicalfate.jpg
Bioderma Sensibio Eye;Anti-fatigue care specifically formulated for sensitive eyes.;Face;Bioderma;15 mL;23.50;10;images/products/Bioderma_Sensibio_Eye.jpg
Uriage Hyseac Gel;Eliminates impurities and excess sebum from oily, acne-prone skin.;Face;Uriage;150 mL;16.75;10;images/products/Uriage_Hyseac_Gel.jpg
Uriage Micellar Water;Perfectly suited for removing make-up from all skin types;Face;Uriage;250 mL;17.85;10;images/products/Uriage_Micellar_Water.jpg
Bioderma Sensibio AR;Micellar water anti-redness that cleanses, removes makeup, and soothes.;Face;Bioderma;250 mL;21.95;10;images/products/Bioderma_Sensibio_AR.jpg
Uriage Bariéderm-CICA Ointment;Helps to isolate, repair and smooth out localized or severe cracks or fissures.;Body;Uriage;40 gr;18.05;5;images/products/Uriage_Bariederm_CICA.jpg
A-Derma Exomega Control Cream;Relieves dryness, redness, irritation and reduces itching of dry skin prone to atopic eczema.;Body;A-Derma;400 mL;30.70;10;images/products/A-Derma_Exomega_Control.jpg
Bioderma Atoderm Intensive Baume;Intensive anti-itch care that strengthens the skin barrier. Ultra-soothing and ultra-nourishing.;Body;Bioderma;500 mL;33.95;10;images/products/Bioderma_Atoderm_Baume.jpg
Bioderma Atoderm 2-in-1 Oil;Moisturizing dry body oil for rough skin, softens and refines the texture of dry and very dry skin.;Body;Bioderma;150 mL;30.95;5;images/products/Bioderma_Atoderm_Oil.jpg
Uriage Eau Thermale Lotion;With a smooth and very pleasant texture, it moisturizes dry skin and allows you to get dressed immediately.;Body;Uriage;500 mL;26.50;15;images/products/Uriage_Eau_Thermale_Lotion.jpg
Uriage Bariéderm-CICA Hand Cream;It softens, soothes, and nourishes very dry hands exposed to daily aggressions and chemicals.;Hands;Uriage;50 mL;10.45;20;images/products/Uriage_Bariederm_Hand.jpg
Avène Cicalfate Hand Cream;Rich, restorative hand cream that helps soothe dry, chapped hands while restoring skin's barrier.;Hands;Avène;100 mL;16.90;20;images/products/Avene_Cicalfate_Hand.jpg
Neutrogena Ultra Nourishing Feet;Helps prevent roughness and calluses and visibly repairs feet and heels.;Feet;Neutrogena;100 mL;14.10;15;images/products/Neutrogena_Feet.jpg
Ureadin Ultra 40 Gel Oil;Intense exfoliation of thickened areas, such as localised calluses or nail abnormalities. Adjuvant in antifungal treatment and the treatment of flat warts.;Feet;ISDIN;30 mL;18.70;10;images/products/Ureadin_Ultra40.jpg
Klorane Centaury Anti-Yellowing, Gray, Blond, White Hair;Revives the shine of grey, white or platinum blonde hair by neutralising yellowing.;Shampoos;Klorane;400 mL;18.90;15;images/products/Klorane_Centaury.jpg
Klorane Mango Nourishing, Dry Hair;Provides daily care for dry and damaged hair. ;Shampoos;Klorane;400 mL;18.90;15;images/products/Klorane_Mango.jpg
Klorane Galangal Anti-Dandruff;Eliminates the visible, dry or oily dandruff, even the most persistent.;Shampoos;Klorane;400 mL;20.20;15;images/products/Klorane_Galangal.jpg
Klorane Nettle Oil Control, Oily Hair;Removes and reduces excess grease from oily layers and hair without stripping.;Shampoos;Klorane;400 mL;20.20;15;images/products/Klorane_Nettle.jpg
Klorane Peony Soothing, Sensitive Scalp;Provides a soothing sensation to sensitive scalps from the very first use and for 24 hours, while respecting the balance of the scalp.;Shampoos;Klorane;400 mL;20.20;15;images/products/Klorane_Peony.jpg
Klorane Pomegranate Color Radiance, Color-Treated Hair;Gently washes color-treated hair, sets the color and naturally preserves its shine.;Shampoos;Klorane;400 mL;18.90;15;images/products/Klorane_Pomegranate.jpg
Klorane Citrus Vitality, Normal Hair;Cleanses and cares for normal hair that gets oily quickly, providing the lightness and tone it needs.;Shampoos;Klorane;400 mL;17.70;15;images/products/Klorane_Citrus.jpg
Klorane Cupuaçu Rapiring, Very Dry, Damaged Hair;Gently cleanses very dry, damaged hair.;Shampoos;Klorane;400 mL;18.90;15;images/products/Klorane_Cupuaçu.jpg
Klorane Flax Volume, Fine Hair;Washes and adds texture to fine hair to give it natural volume and suppleness.;Shampoos;Klorane;400 mL;18.90;15;images/products/Klorane_Flax.jpg
Klorane Prickly Pear Hydration & Shine, De-Hydrated, Dull Hair;Hydrates for 72h and restores shine to dehydrated and dull hair.;Shampoos;Klorane;400 mL;17.80;15;images/products/Klorane_Prickly_Pear.jpg
Klorane Chamomile Blond Highlights, Blond Hair;Provides natural golden highlights on natural, highlighted or dyed blonde hair.;Shampoos;Klorane;400 mL;18.90;15;images/products/Klorane_Chamomile.jpg
Klorane Oat Ultra-Gentle, All Hair Types;Softens and protects the hair while maintaining the natural balance of the scalp.;Shampoos;Klorane;400 mL;17.70;15;images/products/Klorane_Oat.jpg
Lambdapil Anti-Hair Loss;Stimulates the hair follicle thus helping reduce hair loss and increase hair density. Nurtures and strengthens hair.;Hair Loss;ISDIN;400 mL;24.60;10;images/products/Lambdapil_Shampoo.jpg
Klorane Quinine Anti-Hair Loss, Thinning Hair;Helps to strengthen hair and prevent temporary hair loss.;Hair Loss;Klorane;400 mL;21.90;10;images/products/Klorane_Quinine.jpg
Paranix Treatment Shampoo;Eliminates 100% of lice and eggs in just one 15-minute treatment, while also washes the hair.;Lice Treatment;Paranix;200 mL;20.20;15;images/products/Paranix_Shampoo.jpg
Paranix Treatment Lotion;Kills 100% of head lice and eggs cases in just one 10-minute treatment.;Lice Treatment;Paranix;100 mL;19.50;10;images/products/Paranix_Lotion.jpg
Paranix Repel Spray;Ideal for use during lice outbreaks, it protects the scalp by creating a protective film against foreign elements and making it difficult for lice to adhere to the hair.;Lice Treatment;Paranix;100 mL;19.35;10;images/products/Paranix_Repel.jpg
Elgydium Clinic Sensileave Sensitive;Provides optimal and gentle cleaning for sensitive teeth and exposed tooth necks.;Toothbrushes;Elgydium;1 unit;6.80;15;images/products/Elgydium_Sensileave.jpg
Elgydium Whitening Medium;For an improved whitening effect while caring for the enamel. For bright, whiter teeth.;Toothbrushes;Elgydium;1 unit;6.45;20;images/products/Elgydium_Whitening_Medium.jpg
Elgydium Inter-Active Hard;It has two different lengths of bristle: short bristles for the enamel, and long bristles for interdental spaces and massaging gums.;Toothbrushes;Elgydium;1 unit;6.45;10;images/products/Elgydium_Inter-Active_Hard.jpg
Elgydium Clinic 15 100 Extra-Soft;The perfect transition toothbrush after surgery or as an ultra-soft daily toothbrush to ensure comfort.;Toothbrushes;Elgydium;1 unit;6.80;15;images/products/Elgydium_Clinic_15_100.jpg
Elgydium Clinic 20 100 Soft;Helps to provide impeccable daily oral hygiene.;Toothbrushes;Elgydium;1 unit;6.80;15;images/products/Elgydium_Clinic_20_100.jpg
Elgydium Clinic 25 100 Medium Hard;Helps to provide impeccable daily oral hygiene.;Toothbrushes;Elgydium;1 unit;6.80;10;images/products/Elgydium_Clinic_25_100.jpg
Elgydium Whitening Soft;For an improved whitening effect while caring for the enamel. For bright, whiter teeth.;Toothbrushes;Elgydium;1 unit;6.45;15;images/products/Elgydium_Whitening_Soft.jpg
Elgydium Junior;For the first permanent teeth. The perfectly rounded bristles are designed to be gentle on children’s teeth and gums. Its scalloped trim makes it easier to clean interdental areas.;Toothbrushes;Elgydium;1 unit;6.40;20;images/products/Elgydium_Junior.jpg
Elgydium Kids;A soft, fun, and ergonomic toothbrush for children.;Toothbrushes;Elgydium;1 unit;6.70;20;images/products/Elgydium_Kids.jpg
Elgydium Multi-Action Whitening Gel;Complete action toothpaste. Daily oral hygiene.;Toothpastes;Elgydium;75 mL;8.90;15;images/products/Elgydium_Whitening_Gel.jpg
Elgydium Anti-Plaque;Helps prevent the daily buildup of plaque and tartar, which can cause gum disease.;Toothpastes;Elgydium;75 mL;8.90;25;images/products/Elgydium_Anti-Plaque.jpg
Elgydium Sensitive Gel;Helps reduce tooth hypersensitivity when eating hot or cold foods.;Toothpastes;Elgydium;75 mL;8.90;25;images/products/Elgydium_Sensitive.jpg
Elgydium Whitening Cool Lemon;Helps remove surface stains (from food, tobacco, etc.) and maintain the natural whiteness of teeth.;Toothpastes;Elgydium;75 mL;8.90;20;images/products/Elgydium_Whitening_Lemon.jpg
Elgydium Brilliance & Care;A treatment for extra shine, designed to be used twice a week. Removes residual stains from teeth.;Toothpastes;Elgydium;75 mL;9.50;15;images/products/Elgydium_Brilliance.jpg
Elgydium Kids Strawberry;Provides enhanced protection for baby teeth enamel against cavities.;Toothpastes;Elgydium;50 mL;7.55;25;images/products/Elgydium_Kids_Strawberry.jpg
Eludril Classic;Helps to clean the mouth after or as a complement to periodontal treatment, as well as in specific situations such as gum irritation associated with the accumulation of bacterial plaque, use of braces or implants.;Mouthwash;Eludril;200 mL;12.60;20;images/products/Eludril_Classic.jpg
Eludril Extra;Suitable before and after periodontal treatments, it provides a purifying action that lasts up to 12 hours.;Mouthwash;Eludril;300 mL;14.70;15;images/products/Eludril_Extra.jpg
Eludril Care;Helps reduce the buildup of plaque, for healthy teeth and gums.;Mouthwash;Eludril;500 mL;14.20;30;images/products/Eludril_Care.jpg
Eludril Gums;Soothes and cleans sensitive gums daily.;Mouthwash;Eludril;500 mL;13.75;25;images/products/Eludril_Gums.jpg
Eludril Protect;Helps reduce plaque, improves gum health and strengthens enamel.;Mouthwash;Eludril;500 mL;11.80;25;images/products/Eludril_Protect.jpg
Eludril White;Limits the binding of coloring agents to the enamel and reduces the formation of bacterial plaque.;Mouthwash;Eludril;500 mL;12.10;25;images/products/Eludril_White.jpg
Eludril Sensitive;Protects teeth from irritation and helps strengthen and protect your teeth daily.;Mouthwash;Eludril;500 mL;13.75;25;images/products/Eludril_Sensitive.jpg
Eludril Ortho;Helps maintain healthy teeth and gums, complements brushing, and protects against the discomfort of plaque buildup.;Mouthwash;Eludril;500 mL;13.75;25;images/products/Eludril_Ortho.jpg
Eludril Intense;Limits the growth of bacteria, for a pleasant, healthy and extremely fresh sensation.;Mouthwash;Eludril;500 mL;11.80;20;images/products/Eludril_Intense.jpg
Eludril Breath;Neutralizes the causes of bad breath immediately for 12 hours.;Mouthwash;Eludril;500 mL;13.75;25;images/products/Eludril_Breath.jpg
Elgydium Junior;Designed to prevent tooth decay in children aged seven to twelve;Mouthwash;Elgydium;500 mL;12.10;25;images/products/Elgydium_Junior_Mouthwash.jpg
Elgydium Clinic Dental Floss Black;Fine, waxed, unflavored dental floss impregnated with chlorhexidine. Its black color makes it easier to see the removed plaque.;Dental Floss;Elgydium;1 unit;6.30;10;images/products/Elgydium_DentalFloss_Black.jpg
Elgydium Clinic Dental Floss Expanding;Expandable dental floss for optimal, gentle, and thorough interdental cleaning.;Dental Floss;Elgydium;1 unit;6.30;10;images/products/Elgydium_DentalFloss_Expanding.jpg
Elgydium Clinic DentoFil Fluoride;A dental floss with fluoride and mint flavor.;Dental Floss;Elgydium;1 unit;6.30;10;images/products/Elgydium_DentoFil_Fluor.jpg
Elgydium Clinic DentoFil Chlorhexidine;An unflavored chlorhexidine dental floss for gentle interdental cleaning and to prevent tooth decay.;Dental Floss;Elgydium;1 unit;6.30;10;images/products/Elgydium_DentoFil_Chlorhexidine.jpg
Elgydium Clinic Orthoprotect Wax;Orthodontic wax strips for easily positioned braces to reduce the risk of friction and irritation.;Orthodontics;Elgydium;1 unit;6.55;5;images/products/Elgydium_Orthoprotect_Wax.jpg
Oral B Super Floss;Ideal for dental appliances, bridges, and open spaces.;Orthodontics;Oral B;1 unit;5.50;5;images/products/OralB_Superfloss.jpg
Elgydium Clinic Xeroleave Spray;A solution to relieve and lubricate dry mouth.;Mouth Care;Elgydium;70 mL;14.05;5;images/products/Elgydium_Xeroleave.jpg
Elgydium Clinic Sensileave Gel;Provides fast and lasting relief from sensitivity to heat, cold, sugar, etc. Suitable for pain relief during teeth whitening treatments.;Mouth Care;Elgydium;30 mL;9.55;5;images/products/Elgydium_Sensileave_Gel.jpg
Elgydium Clinic Cicalium Gel;Treatment for mouth ulcers, helps protect lesions.;Mouth Care;Elgydium;8 mL;13.50;5;images/products/Elgydium_Cicalium.jpg
Systane Ultra;Provides long-lasting relief and protection against the symptoms of dry eye.;Artificial Tears;Systane;10 mL;11.99;15;images/products/Systane_Ultra.jpg
Systane Complete;Supports and replenishes all layers of the tear film. Relieves the dry eye symptoms;Artificial Tears;Systane;10 mL;18.45;15;images/products/Systane_Complete.jpg
Systane Gel Drops;Helps relieve severe dry eyes.;Artificial Tears;Systane;10 mL;15.49;10;images/products/Systane_Gel.jpg
Systane Hydration;Provides long-lasting relief for moderate sufferers.;Artificial Tears;Systane;10 mL;16.50;15;images/products/Systane_Hydration.jpg
Optrex Double Action Itchy Eye Soothing;Soothes itchy eyes caused by allergies for instant relief. Lubricates for long-lasting relief and comfort.;Allergy & Hay Fever;Optrex;10 mL;14.99;20;images/products/Optrex_Itchy.jpg
Vidisan Allergy with Ectoin;Effectively reduces pain, irritation, and tearing.;Allergy & Hay Fever;Vidisan;10 mL;17.50;20;images/products/Vidisan.jpg
Blephaclean;Keeps your eyelids clean while respecting the skin around your eyes and its natural bacteria.;Hygiene;Blephaclean;30 wipes;15.99;10;images/products/Blephaclean.jpg
Blephagel Duo Gel and Wipes;Gentle gel for daily eyelid cleansing. Suitable for sensitive, irritated, and atopic-prone skin.;Hygiene;Blephagel ;100 g + 30 wipes;17.70;10;images/products/Blephagel_Duo.jpg
Medela Harmony Manual Breast Pump;Easy to adjust, making the pumping experience convenient and more comfortable.;Breast Pumps;Medela;1 unit;36.00;2;images/products/Medela_Harmony.jpg
Medela Motion InBra Wearable Breast Pump;Highly efficient, designed to offer reliable performance and maximum comfort. Easy to use and discreet. Portable.;Breast Pumps;Medela;2 units;219.00;2;images/products/Medela_Motion_InBra.jpg
Medela Magic InBra Wearable Breast Pump;Discreet, ideal for wearing under clothing, guaranteeing exceptional performance without compromising comfort.;Breast Pumps;Medela;2 units;439.30;1;images/products/Medela_Magic_InBra.jpg
Medela Purelan Lanolin Cream;Fast relief for sore nipples and dry skin. Safe for both mum and baby.;Nipple Care;Medela;37 gr;14.60;5;images/products/Medela_Purelan.jpg
Medela Breast Shells;Protects sore or cracked nipples. Allows skin to recover.;Nipple Care;Medela;2 units;14.95;5;images/products/Medela_Shells.jpg
